section,label,url,icon
main,Drive,https://drive.google.com,si:https://cdn.simpleicons.org/googledrive
main,YouTube,https://youtube.com,si:https://cdn.simpleicons.org/youtube
main,Sniffies,https://sniffies.com,si:https://ryanc.vercel.app/sniffies.svg
main,Hacker News,https://news.ycombinator.com,si:https://cdn.simpleicons.org/ycombinator
main,Brutalist Report,https://brutalist.report,si:icons/brutalist-report-icon.svg
main,Plex,https://app.plex.tv,si:icons/plex-icon.svg
main,Whatbox,https://whatbox.ca/manage,si:icons/whatbox-icon.svg
main,Claude,https://claude.ai/new,si:https://cdn.simpleicons.org/claude
main,ChatGPT,https://chatgpt.com,si:icons/chatgpt-icon.svg
main,Gemini,https://gemini.google.com/app,si:https://cdn.simpleicons.org/googlegemini
main,Gmail,https://mail.google.com,si:https://cdn.simpleicons.org/gmail
main,Fastmail,https://fastmail.com,inline-envelope
main,Google Voice,https://voice.google.com,si:icons/google-voice-icon.svg
network,Speed Test,https://speed.cloudflare.com,si:icons/cloudflare-speed-icon.svg
network,NextDNS,https://my.nextdns.io/8584eb/logs,si:https://cdn.simpleicons.org/nextdns
network,WiFiMan,https://wifiman.com/,si:https://cdn.simpleicons.org/ubiquiti
network,Vercel,https://vercel.com/ryanchavezzz,si:https://cdn.simpleicons.org/vercel
network,Oracle Cloud,https://www.oracle.com/cloud/sign-in.html,si:icons/oracle-cloud-icon.svg
files,FilePizza,https://file.pizza/,si:icons/filepizza-icon.svg
files,url.town,https://url.town/,inline-link
resources,TRaSH Guides,https://trash-guides.info/,fav:trash-guides.info
resources,Dashboard Icons,https://dashboardicons.com,inline-grid
resources,Custom Brand Icons,https://elax46.github.io/custom-brand-icons/,si:icons/custom-brand-icons-icon.svg
whatbox,Manage,https://whatbox.ca/manage,si:icons/whatbox-icon.svg
whatbox,Flood,http://flood.rchvz.dev,si:icons/flood-icon.svg
whatbox,Jackett,http://jackett.rchvz.dev,si:icons/jackett-icon.svg
whatbox,ruTorrent,http://rtorrent.rchvz.dev,si:icons/rutorrent-icon.svg
whatbox,Wiki,https://whatbox.ca/wiki,si:icons/whatbox-wiki-icon.svg
